Date : 2022-10-07 15:48:30
Directory : /Users/junioradessu/Documents/ambient-ts-app/src
Total : 885 files,  95655 codes, 5343 comments, 9276 blanks, all 110274 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| App/components/Sidebar/SidebarAccordion                                                                                                                    |          2 |         60 |         35 |         12 |        107 |
| App/components/Sidebar/SidebarSearchResults                                                                                                                |          8 |        293 |          5 |         55 |        353 |
| App/components/Sidebar/SidebarSearchResults/OrdersSearchResults                                                                                            |          1 |         38 |          0 |          4 |         42 |
| App/components/Sidebar/SidebarSearchResults/PoolsSearchResults                                                                                             |          1 |         38 |          0 |          6 |         44 |
| App/components/Sidebar/SidebarSearchResults/PositionsSearchResults                                                                                         |          1 |         38 |          0 |          7 |         45 |
| App/components/Sidebar/SidebarSearchResults/ResultSkeleton                                                                                                 |          2 |         57 |          2 |          8 |         67 |
| App/components/Sidebar/SidebarSearchResults/TransactionsResults                                                                                            |          1 |         38 |          0 |          4 |         42 |
| App/components/WalletModal                                                                                                                                 |          5 |        393 |         28 |         72 |        493 |
| App/components/WalletModal/WalletButton                                                                                                                    |          2 |         42 |          0 |          7 |         49 |
| App/functions                                                                                                                                              |         19 |      1,044 |         99 |        162 |      1,305 |
| App/hooks                                                                                                                                                  |          5 |        167 |         45 |         26 |        238 |
| apollo                                                                                                                                                     |          1 |        153 |         16 |         10 |        179 |
| assets                                                                                                                                                     |         44 |     33,477 |          7 |         44 |     33,528 |
| assets/animations                                                                                                                                          |          8 |     31,121 |          1 |         11 |     31,133 |
| assets/images                                                                                                                                              |         36 |      2,356 |          6 |         33 |      2,395 |
| assets/images/Investors                                                                                                                                    |          5 |         15 |          0 |          5 |         20 |
| assets/images/Temporary                                                                                                                                    |          3 |        147 |          0 |          3 |        150 |
| assets/images/Temporary/Analytics                                                                                                                          |          1 |         15 |          0 |          1 |         16 |
| assets/images/backgrounds                                                                                                                                  |          1 |         88 |          0 |          1 |         89 |
| assets/images/home                                                                                                                                         |          1 |         10 |          0 |          1 |         11 |
| assets/images/icons                                                                                                                                        |          4 |         35 |          1 |          5 |         41 |
| assets/images/logos                                                                                                                                        |          3 |      1,466 |          1 |          3 |      1,470 |
| assets/images/networks                                                                                                                                     |          4 |        202 |          1 |          3 |        206 |
| assets/images/sidebarImages                                                                                                                                |         12 |        148 |          2 |          9 |        159 |
| components                                                                                                                                                 |        570 |     38,004 |      3,273 |      5,902 |     47,179 |
| components/Analytics                                                                                                                                       |          4 |        633 |         22 |         63 |        718 |
| components/Analytics/AnalyticsTabs                                                                                                                         |          2 |        197 |          3 |         18 |        218 |
| components/Analytics/GraphContainer                                                                                                                        |          2 |        436 |         19 |         45 |        500 |
| components/Chat                                                                                                                                            |         12 |        689 |        128 |        159 |        976 |
| components/Chat/MessagePanel                                                                                                                               |          8 |        394 |         49 |         98 |        541 |
| components/Chat/MessagePanel/Inbox                                                                                                                         |          2 |         88 |         10 |         32 |        130 |
| components/Chat/MessagePanel/InputBox                                                                                                                      |          2 |        128 |         35 |         38 |        201 |
| components/Chat/MessagePanel/Room                                                                                                                          |          2 |         99 |          1 |          9 |        109 |
| components/Chat/MessagePanel/SentMessagePanel                                                                                                              |          2 |         79 |          3 |         19 |        101 |
| components/Chat/Model                                                                                                                                      |          1 |          7 |          0 |          1 |          8 |
| components/Chat/Service                                                                                                                                    |          1 |          7 |         31 |         11 |         49 |
| components/Global                                                                                                                                          |        238 |     11,601 |        858 |      1,964 |     14,423 |
| components/Global/Accordion                                                                                                                                |          2 |         36 |          0 |          5 |         41 |
| components/Global/Account                                                                                                                                  |         30 |      1,452 |        168 |        234 |      1,854 |
| components/Global/Account/AccountTabs                                                                                                                      |         30 |      1,452 |        168 |        234 |      1,854 |
| components/Global/Account/AccountTabs/Exchange                                                                                                             |          6 |        224 |         25 |         34 |        283 |
| components/Global/Account/AccountTabs/Order                                                                                                                |          6 |        296 |         52 |         52 |        400 |
| components/Global/Account/AccountTabs/Range                                                                                                                |          6 |        234 |         28 |         45 |        307 |
| components/Global/Account/AccountTabs/Transaction                                                                                                          |          6 |        472 |         55 |         69 |        596 |
| components/Global/Account/AccountTabs/Wallet                                                                                                               |          6 |        226 |          8 |         34 |        268 |
| components/Global/Analytics                                                                                                                                |          5 |         79 |          3 |         17 |         99 |
| components/Global/AnimatedPage                                                                                                                             |          1 |         40 |         22 |          9 |         71 |
| components/Global/Animation                                                                                                                                |          1 |         24 |          0 |          5 |         29 |
| components/Global/AppOverlay                                                                                                                               |          2 |        164 |         22 |         22 |        208 |
| components/Global/Button                                                                                                                                   |          2 |         68 |          1 |         18 |         87 |
| components/Global/Carousel                                                                                                                                 |          4 |        113 |          6 |         17 |        136 |
| components/Global/Carousel/CarouselItem                                                                                                                    |          2 |         21 |          0 |          4 |         25 |
| components/Global/Charts                                                                                                                                   |          3 |        512 |          8 |         71 |        591 |
| components/Global/ConfirmationModalControl                                                                                                                 |          2 |         29 |          2 |          7 |         38 |
| components/Global/ContentContainer                                                                                                                         |          3 |        120 |         69 |         33 |        222 |
| components/Global/ContentHeader                                                                                                                            |          3 |         43 |          0 |         10 |         53 |
| components/Global/CurrencyDisplay                                                                                                                          |          2 |        141 |         13 |         37 |        191 |
| components/Global/Divider                                                                                                                                  |          2 |         15 |          0 |          3 |         18 |
| components/Global/DividerDark                                                                                                                              |          2 |         37 |          3 |          6 |         46 |
| components/Global/DropdownMenu                                                                                                                             |          6 |         77 |          5 |         20 |        102 |
| components/Global/DropdownMenu/DropdownMenuContainer                                                                                                       |          2 |         26 |          0 |          7 |         33 |
| components/Global/DropdownMenu/DropdownMenuItem                                                                                                            |          2 |         21 |          1 |          5 |         27 |
| components/Global/DropdownMenu2                                                                                                                            |          2 |         89 |          9 |         16 |        114 |
| components/Global/IconWithTooltip                                                                                                                          |          1 |         34 |          0 |          3 |         37 |
| components/Global/LoadingAnimations                                                                                                                        |          8 |        252 |         17 |         41 |        310 |
| components/Global/LoadingAnimations/CircleLoader                                                                                                           |          2 |        108 |          4 |         21 |        133 |
| components/Global/LoadingAnimations/DotJump                                                                                                                |          2 |         33 |          1 |          5 |         39 |
| components/Global/LoadingAnimations/RollingBall                                                                                                            |          2 |         38 |          8 |          4 |         50 |
| components/Global/LoadingAnimations/WaveAnimation                                                                                                          |          2 |         73 |          4 |         11 |         88 |
| components/Global/MenuButton                                                                                                                               |          1 |         77 |          3 |          6 |         86 |
| components/Global/MobileSidebar                                                                                                                            |          3 |        430 |         20 |         63 |        513 |
| components/Global/Modal                                                                                                                                    |          5 |        187 |         18 |         42 |        247 |
| components/Global/Modal/data                                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| components/Global/NotificationCenter                                                                                                                       |          8 |        444 |          5 |         92 |        541 |
| components/Global/NotificationCenter/ActivityIndicator                                                                                                     |          2 |        106 |          0 |         19 |        125 |
| components/Global/NotificationCenter/NotificationTable                                                                                                     |          2 |        135 |          3 |         37 |        175 |
| components/Global/NotificationCenter/ReceiptDisplay                                                                                                        |          2 |        158 |          1 |         24 |        183 |
| components/Global/OpenOrderStatus                                                                                                                          |          2 |         59 |          1 |          7 |         67 |
| components/Global/OverlayComponent                                                                                                                         |          2 |         74 |          3 |         15 |         92 |
| components/Global/Pagination                                                                                                                               |          2 |        220 |         11 |         44 |        275 |
| components/Global/PoolCard                                                                                                                                 |          4 |        465 |         10 |         71 |        546 |
| components/Global/PoolCard/PoolCardSkeleton                                                                                                                |          2 |         86 |          1 |         13 |        100 |
| components/Global/Position                                                                                                                                 |          1 |        197 |          7 |         28 |        232 |
| components/Global/RangeStatus                                                                                                                              |          2 |         97 |          1 |         13 |        111 |
| components/Global/RelativeModal                                                                                                                            |          5 |        173 |          9 |         41 |        223 |
| components/Global/RelativeModal/data                                                                                                                       |          1 |          4 |          0 |          1 |          5 |
| components/Global/Row                                                                                                                                      |          2 |         15 |          0 |          4 |         19 |
| components/Global/SIdebarFooter                                                                                                                            |          2 |         80 |          3 |         10 |         93 |
| components/Global/Sidebar                                                                                                                                  |         24 |      1,327 |         33 |        212 |      1,572 |
| components/Global/Sidebar/FavoritePools                                                                                                                    |          4 |        146 |          2 |         24 |        172 |
| components/Global/Sidebar/SidebarLimitOrders                                                                                                               |          4 |        242 |          3 |         38 |        283 |
| components/Global/Sidebar/SidebarRangePositions                                                                                                            |          4 |        301 |          3 |         47 |        351 |
| components/Global/Sidebar/SidebarRecentTransactions                                                                                                        |          4 |        295 |         23 |         44 |        362 |
| components/Global/Sidebar/TopPools                                                                                                                         |          4 |        153 |          1 |         24 |        178 |
| components/Global/Sidebar/TopTokens                                                                                                                        |          4 |        190 |          1 |         35 |        226 |
| components/Global/SimpleModal                                                                                                                              |          4 |        141 |          8 |         29 |        178 |
| components/Global/SimpleModal/SimpleModalHeader                                                                                                            |          2 |         39 |          3 |          7 |         49 |
| components/Global/Skeleton                                                                                                                                 |          2 |         44 |          0 |          7 |         51 |
| components/Global/Skeletons                                                                                                                                |          3 |         74 |          1 |         10 |         85 |
| components/Global/SlippageTolerance                                                                                                                        |          2 |        100 |         13 |         14 |        127 |
| components/Global/SnackbarComponent                                                                                                                        |          2 |         47 |          3 |          7 |         57 |
| components/Global/StyledTooltip                                                                                                                            |          2 |         17 |          1 |          5 |         23 |
| components/Global/SwitchNetworkAlert                                                                                                                       |          5 |        173 |          8 |         53 |        234 |
| components/Global/SwitchNetworkAlert/NetworkButton                                                                                                         |          3 |         80 |          0 |         15 |         95 |
| components/Global/SwitchNetworkAlert/SwitchNetwork                                                                                                         |          2 |         93 |          8 |         38 |        139 |
| components/Global/TabComponent                                                                                                                             |          3 |        409 |         20 |         44 |        473 |
| components/Global/Tabs                                                                                                                                     |         32 |      1,359 |        147 |        246 |      1,752 |
| components/Global/Tabs/AccountPoolDisplay                                                                                                                  |          2 |         30 |          2 |          6 |         38 |
| components/Global/Tabs/AccountTokensDisplay                                                                                                                |          2 |         30 |          1 |          8 |         39 |
| components/Global/Tabs/Apy                                                                                                                                 |          2 |         47 |         11 |         15 |         73 |
| components/Global/Tabs/Price                                                                                                                               |          2 |         74 |          3 |          8 |         85 |
| components/Global/Tabs/RangeMinMax                                                                                                                         |          2 |         49 |          1 |          7 |         57 |
| components/Global/Tabs/SelectedCanleData                                                                                                                   |          2 |         28 |          0 |          3 |         31 |
| components/Global/Tabs/TabContent                                                                                                                          |          2 |         25 |          3 |          5 |         33 |
| components/Global/Tabs/TabNavItem                                                                                                                          |          2 |         69 |          6 |         12 |         87 |
| components/Global/Tabs/TableMenu                                                                                                                           |          6 |        517 |        101 |        123 |        741 |
| components/Global/Tabs/TableMenu/TableMenuComponents                                                                                                       |          4 |        510 |         91 |        119 |        720 |
| components/Global/Tabs/TokenQty                                                                                                                            |          2 |         88 |          9 |         12 |        109 |
| components/Global/Tabs/TypeAndSide                                                                                                                         |          4 |        199 |          4 |         26 |        229 |
| components/Global/Tabs/TypeAndSide/OrderTypeAndSide                                                                                                        |          2 |         92 |          2 |         14 |        108 |
| components/Global/Tabs/TypeAndSide/TransactionTypeSide                                                                                                     |          2 |        107 |          2 |         12 |        121 |
| components/Global/Tabs/Value                                                                                                                               |          2 |         46 |          1 |          8 |         55 |
| components/Global/Tabs/WalletAndID                                                                                                                         |          2 |        157 |          5 |         13 |        175 |
| components/Global/Toggle                                                                                                                                   |          5 |        183 |          8 |         39 |        230 |
| components/Global/TokenList                                                                                                                                |          6 |        615 |         57 |         76 |        748 |
| components/Global/TokenListCard                                                                                                                            |          4 |        228 |         10 |         43 |        281 |
| components/Global/TokenSelect                                                                                                                              |          4 |        326 |         28 |         60 |        414 |
| components/Global/TokenSelectContainer                                                                                                                     |          6 |        314 |         41 |         43 |        398 |
| components/Global/TokensArrow                                                                                                                              |          2 |         35 |          6 |          2 |         43 |
| components/Global/TooltipComponent                                                                                                                         |          2 |         48 |          0 |          5 |         53 |
| components/Global/TransactionDenied                                                                                                                        |          2 |         33 |         10 |         11 |         54 |
| components/Global/TransactionSettings                                                                                                                      |          2 |         64 |         12 |         12 |         88 |
| components/Global/TransactionSubmitted                                                                                                                     |          3 |        129 |          6 |         18 |        153 |
| components/Global/WaitingConfirmation                                                                                                                      |          2 |         87 |          7 |         13 |        107 |
| components/HarvestPosition                                                                                                                                 |         16 |      1,331 |        130 |        214 |      1,675 |
| components/HarvestPosition/HarvestExtraControls                                                                                                            |          2 |        189 |         15 |         27 |        231 |
| components/HarvestPosition/HarvestPositionButton                                                                                                           |          2 |         14 |          0 |          7 |         21 |
| components/HarvestPosition/HarvestPositionHeader                                                                                                           |          2 |         48 |          3 |          8 |         59 |
| components/HarvestPosition/HarvestPositionInfo                                                                                                             |          2 |        128 |         55 |         18 |        201 |
| components/HarvestPosition/HarvestPositionSettings                                                                                                         |          2 |        111 |         12 |         21 |        144 |
| components/HarvestPosition/HarvestPositionTokenHeader                                                                                                      |          2 |         58 |          6 |          9 |         73 |
| components/HarvestPosition/HarvestPositionWidth                                                                                                            |          2 |        298 |          8 |         55 |        361 |
| components/Home                                                                                                                                            |         26 |      1,419 |         58 |        224 |      1,701 |
| components/Home/Investors                                                                                                                                  |          2 |        317 |         11 |         42 |        370 |
| components/Home/Landing                                                                                                                                    |         18 |        800 |         42 |        141 |        983 |
| components/Home/Links                                                                                                                                      |          2 |         97 |          2 |         13 |        112 |
| components/Home/Stats                                                                                                                                      |          2 |        123 |          0 |         15 |        138 |
| components/Home/TopPools                                                                                                                                   |          2 |         82 |          3 |         13 |         98 |
| components/InitPool                                                                                                                                        |         14 |        741 |         11 |         90 |        842 |
| components/InitPool/ChooseTokens                                                                                                                           |          2 |        151 |          1 |         10 |        162 |
| components/InitPool/ConfirmPoolCreation                                                                                                                    |          2 |         39 |          0 |          3 |         42 |
| components/InitPool/InitPoolBox                                                                                                                            |          2 |         19 |          0 |          3 |         22 |
| components/InitPool/InitPoolSteps                                                                                                                          |          2 |        170 |          8 |         39 |        217 |
| components/InitPool/InitPoolSummary                                                                                                                        |          2 |         22 |          0 |          5 |         27 |
| components/InitPool/SetInitialLiquidity                                                                                                                    |          2 |        185 |          1 |         15 |        201 |
| components/InitPool/SetPoolFees                                                                                                                            |          2 |        155 |          1 |         15 |        171 |
| components/NotFound                                                                                                                                        |          6 |        199 |          7 |         28 |        234 |
| components/NotFound/Game                                                                                                                                   |          2 |        103 |          7 |         15 |        125 |
| components/NotFound/GameCard                                                                                                                               |          2 |         58 |          0 |          8 |         66 |
| components/NotFound/NotFoundLottie                                                                                                                         |          2 |         38 |          0 |          5 |         43 |
| components/OrderDetails                                                                                                                                    |         10 |        602 |         39 |         98 |        739 |
| components/OrderDetails/OderDetailsControl                                                                                                                 |          2 |         89 |          0 |         16 |        105 |
| components/OrderDetails/OrderDetailsHeader                                                                                                                 |          2 |         90 |          0 |         13 |        103 |
| components/OrderDetails/OrderGraphDisplay                                                                                                                  |          2 |         67 |          6 |         14 |         87 |
| components/OrderDetails/PriceInfo                                                                                                                          |          2 |        254 |         27 |         32 |        313 |
| components/OrderRemoval                                                                                                                                    |         14 |      1,030 |         64 |        180 |      1,274 |
| components/OrderRemoval/RemoveOrderButton                                                                                                                  |          2 |         18 |          0 |          5 |         23 |
| components/OrderRemoval/RemoveOrderInfo                                                                                                                    |          2 |        133 |         11 |         15 |        159 |
| components/OrderRemoval/RemoveOrderModalHeader                                                                                                             |          2 |         67 |          4 |         11 |         82 |
| components/OrderRemoval/RemoveOrderSettings                                                                                                                |          2 |        149 |         22 |         30 |        201 |
| components/OrderRemoval/RemoveOrderTokenHeader                                                                                                             |          2 |         60 |          2 |          8 |         70 |
| components/OrderRemoval/RemoveOrderWidth                                                                                                                   |          2 |        298 |          7 |         55 |        360 |
| components/Pools                                                                                                                                           |          6 |        443 |         28 |         61 |        532 |
| components/Portfolio                                                                                                                                       |         34 |      3,073 |        331 |        349 |      3,753 |
| components/Portfolio/EchangeBalance                                                                                                                        |         22 |      1,487 |        195 |        181 |      1,863 |
| components/Portfolio/EchangeBalance/Deposit                                                                                                                |          6 |        364 |         56 |         45 |        465 |
| components/Portfolio/EchangeBalance/Deposit/DepositButton                                                                                                  |          2 |         20 |          1 |          6 |         27 |
| components/Portfolio/EchangeBalance/Deposit/DepositCurrencySelector                                                                                        |          2 |        126 |          4 |         14 |        144 |
| components/Portfolio/EchangeBalance/Transfer                                                                                                               |          8 |        463 |         51 |         59 |        573 |
| components/Portfolio/EchangeBalance/Transfer/TransferAddressInput                                                                                          |          2 |         91 |          6 |         12 |        109 |
